F a l a ; C a n d i d a t o ; S e n t e n ç a ; S e n t i m e n t o
8 ; A É C I O      N E V E S ; H o j e      t e m      c a n d i d a t a      t a l v e z      a      s e n h o r a      n e m      s a i b a      3 7      u m      t e r ç o      d e l a s      o c u p a d a s      p o r      f i l i a d o s      d o      P T . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
8 ; A É C I O      N E V E S ; E s s a      é      u m a      d e m o n s t r a ç ã o      c l a r a      d a      p e r v e r s i d a d e      d o      a p a r e l h a m e n t o      d a      m á q u i n a      p ú b l i c a      e m      b e n e f í c i o      d e      u m      p r o j e t o      d e      g o v e r n o . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
8 ; A É C I O      N E V E S ; U m      v i c e - p r e s i d e n t e      e s t á      p r e s o      n a      I t á l i a      e      o      p r e s i d e n t e      a t u a l      a l v o      d e      g r a v í s s i m a s      d e n ú n c i a s . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
9 ; A É C I O      N E V E S ; C a n d i d a t a      v a m o s      a      u m      t e m a      q u e      i n t e r e s s a      a      t o d o s      o s      b r a s i l e i r o s :      i n f l a ç ã o . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
9 ; A É C I O      N E V E S ; V a m o s      v o l t a r      a      e l e      a t é      p o r q u e      é      p r e c i s o      q u e      o s      b r a s i l e i r o s      q u e      n o s      a s s i s t e m      s a i b a m      q u e      a      s e n h o r a      n o s      ú l t i m o s      d e b a t e s      r e a f i r m o u      q u e      a      i n f l a ç ã o      n o      B r a s i l      e s t á      s o b      c o n t r o l e . ; { ' n e g ' :      0 . 1 4 9 ,      ' n e u ' :      0 . 8 5 1 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      - 0 . 4 9 3 9 }
9 ; A É C I O      N E V E S ; E u      n ã o      a c r e d i t o      n i s s o      c a n d i d a t a . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
9 ; A É C I O      N E V E S ; E l a      e s t o u r o u      o      t e t o      d a      m e t a      e      a o      m e s m o      t e m p o      a      p e r v e r s a      e q u a ç ã o      q u e      o      s e u      g o v e r n o      d e i x a r á      a o      s u c e s s o r      e s t o u      p r e p a r a d o      p a r a      e l a      i n f l a ç ã o      a l t a      e      c r e s c i m e n t o      b a i x o . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
9 ; A É C I O      N E V E S ; D o u - l h e      m a i s      u m a      o p o r t u n i d a d e      o      q u e      e u      s e u      g o v e r n o      f a r á      s e      v e n c e r      a s      e l e i ç õ e s      p a r a      c o n t r o l a r      a      i n f l a ç ã o      o u      e l a      n ã o      é      u m      p r o b l e m a ? ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
1 0 ; A É C I O      N E V E S ; C a n d i d a t a      m u i t o      c o n f u s a      e s s a      s u a      e x p l i c a ç ã o . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
1 0 ; A É C I O      N E V E S ; M a s      e u      v o u      v o l t a r      à      q u e s t ã o      c e n t r a l . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
1 0 ; A É C I O      N E V E S ; A      s e n h o r a      e n t ã o      q u e r      d i z e r      q u e      o      P T      c o n t r o l o u      a      i n f l a ç ã o ? ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
1 0 ; A É C I O      N E V E S ; N ã o      f o m o s      n ó s      c o m      o      P l a n o      R e a l ? ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
1 0 ; A É C I O      N E V E S ; A      h i s t ó r i a      n ã o      s e      r e e s c r e v e      c a n d i d a t a . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
1 0 ; A É C I O      N E V E S ; N ó s      f i z e m o s      n a q u e l e      m o m e n t o      o      q u e      p r e c i s a v a      s e r      f e i t o . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
1 0 ; A É C I O      N E V E S ; E      t e n h o      u m a      h o n r a      e      u m      o r g u l h o      e n o r m e      d e      t e r      h o j e      c o m o      u m      a l i a d o      m u i t o      f o r t e      o      p r e s i d e n t e      F e r n a n d o      H e n r i q u e      a q u e l e      a      q u e m      a      s e n h o r a      t e c e u      e l o g i o s      q u e      t a l v e z      e u      n ã o      t e n h a      t i d o      a      o p o r t u n i d a d e      d e      f a z e r . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
1 0 ; A É C I O      N E V E S ; M a s      v a m o s      v o l t a r      a o      p r e s e n t e      p o r q u e      a s      p e s s o a s      q u e      n o s      e s c u t a m      h o j e      q u e      n o s      a s s i s t e m      n o      B r a s i l      i n t e i r o      q u e r e m      q u e      n ó s      f a l e m o s      d e      f u t u r o . ; { ' n e g ' :      0 . 0 8 7 ,      ' n e u ' :      0 . 9 1 3 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      - 0 . 2 9 6 }
1 0 ; A É C I O      N E V E S ; Q u e m      t e m      r e s p o n s a b i l i d a d e      e      c o m p r o m i s s o      c o m      o      c o n t r o l e      d a      i n f l a ç ã o      c o m      a      g e s t ã o      p r o f i s s i o n a l      d o s      b a n c o s      p ú b l i c o s      s o m o s      n ó s . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
1 0 ; A É C I O      N E V E S ; O      s e u      g o v e r n o      d e v e      à      C a i x a      E c o n ô m i c a      F e d e r a l      m a i s      d e      R $      1 0      b i l h õ e s      d e v e      a o      B a n c o      d o      B r a s i l      R $      8      b i l h õ e s      n o      c r é d i t o      s a f r a      p o r q u e      s e u      g o v e r n o      d e s c o n t r o l o u      a      e c o n o m i a      d o      p a í s      c a n d i d a t a      e s s a      é      a      r e a l i d a d e      i n c o n t e s t á v e l . ; { ' n e g ' :      0 . 0 6 6 ,      ' n e u ' :      0 . 9 3 4 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      - 0 . 2 9 6 }
1 1 ; A É C I O      N E V E S ; E u      n ã o      d e v i a      l h e      c o r r i g i r      e m      p ú b l i c o      m a s      e u      e r a      l í d e r      d o      P S D B      m a s      v a m o s      p a s s a r      i s s o      d e i x a r      i s s o      u m      p o u c o      m a i s      b a r a t o . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
1 1 ; A É C I O      N E V E S ; É      m a i s      o u      m e n o s      c a n d i d a t a . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
1 1 ; A É C I O      N E V E S ; P a r a      q u e m      n ã o      c o n h e c e      o      C o n g r e s s o      N a c i o n a l      t a l v e z      s i m      m a s      é      m u i t o      d i f e r e n t e      é      m u i t o      d i f e r e n t e . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
1 2 ; A É C I O      N E V E S ; C a n d i d a t a      o      P r o n a t e c      é      u m a      i n s p i r a ç ã o      e      é      b o m      r e c o n h e c e r      i s s o . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
1 2 ; A É C I O      N E V E S ; É      u m a      i n s p i r a ç ã o      e m      p r o g r a m a s      c o m o      f e i t o      e m      S ã o      P a u l o      a s      E t e c s      d o      g o v e r n a d o r      G e r a l d o      A l c k m i n      d o      g o v e r n a d o r      J o s é      S e r r a      c u j a      p r e s e n ç a      a q u i      h o j e      e u      a g r a d e ç o . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
1 2 ; A É C I O      N E V E S ; D a      P e p      e m      M i n a s      G e r a i s      q u e      f o i      u m      p r o g r a m a      d e      e n s i n o      p r o f i s s i o n a l i z a n t e      d e      M i n a s      G e r a i s      i n s p i r a r a m      o      P r o n a t e c . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
1 2 ; A É C I O      N E V E S ; A g o r a      f a l t a      a      f i s c a l i z a ç ã o . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
1 2 ; A É C I O      N E V E S ; N e s s a s      ú l t i m a s      s e m a n a s      a s      d e n ú n c i a s      e m      r e l a ç ã o      a o      P r o n a t e c      s ã o      g r a v e s      c a n d i d a t a . ; { ' n e g ' :      0 . 1 6 7 ,      ' n e u ' :      0 . 8 3 3 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      - 0 . 2 9 6 }
1 2 ; A É C I O      N E V E S ; E m      r e l a ç ã o      à s      e s t a t í s t i c a s      p o r q u e      v o c ê s      c o n t a b i l i z a m      o      a l u n o      q u a n d o      e l e      e n t r a      e      s e      e l e      f i c o u      a l i      u m a      s e m a n a      d u a s      s e m a n a s      e      d e p o i s      s a i u      e l e      c o n t i n u a      f a z e n d o      p a r t e      d a      e s t a t í s t i c a . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
1 2 ; A É C I O      N E V E S ; A l i á s      o      s e u      g o v e r n o      é      o      g o v e r n o      d a s      e s t a t í s t i c a s      d e s d e      q u e      e l a s      l h e      s e j a m      f a v o r á v e i s . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
1 2 ; A É C I O      N E V E S ; N ó s      v a m o s      a p r i m o r a r      e s s e s      p r o g r a m a s      a u m e n t a n d o      a      c a r g a      h o r á r i a . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
1 2 ; A É C I O      N E V E S ; M a i s      d e      7 0 %      t ê m      u m a      c a r g a      h o r á r i a      d e      c e r c a      d e      1 6 0      h o r a s . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
1 2 ; A É C I O      N E V E S ; V e n h a m o s      e      c o n v e n h a m o s      é      m u i t o      p o u c o      p a r a      a      f o r m a ç ã o      m a i s      a d e q u a d a      a i n d a      d e      u m      a l u n o . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
1 2 ; A É C I O      N E V E S ; E u      q u e r o      m a i s      e u      q u e r o      q u e      o      a l u n o      f r e q u e n t e      o      P r o n a t e c      m a s      e l e      c o m p l e t e      s e u      c i c l o      d e      e s t u d o      n o      e n s i n o      m é d i o      c a n d i d a t a . ; { ' n e g ' :      0 . 1 0 4 ,      ' n e u ' :      0 . 8 9 6 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      - 0 . 2 9 6 }
1 2 ; A É C I O      N E V E S ; I s s o      s i m      v a i      p e r m i t i r      o      B r a s i l      d a r      u m      a v a n ç o      n a      e d u c a ç ã o . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
1 2 ; A É C I O      N E V E S ; O      P r o n a t e c      é      u m a      e t a p a      a p e n a s      d e      u m      p r o c e s s o      m u i t o      m a i s      c o m p l e x o      e      q u e      t e m      q u e      s e r      m u i t o      m a i s      o u s a d o      e      a m b i c i o s o      d o      q u e      e s s e      q u e      t e m      o      s e u      g o v e r n o . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
1 3 ; A É C I O      N E V E S ; C a n d i d a t a      a c h o      m a i s      d o      q u e      e s s e s      n ú m e r o s      d e c o r a d o s      e s s a s      e s t a t í s t i c a s      v a m o s      f a l a r      d e      e d u c a ç ã o      q u e      é      o      e s s e n c i a l . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
1 3 ; A É C I O      N E V E S ; O      B r a s i l      i n t e i r o      e s t á      n o s      e s c u t a n d o      h o j e . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
1 3 ; A É C I O      N E V E S ; O      q u e      é      q u e      e s s e      g o v e r n o      f e z      q u e      a      q u a l i d a d e      d a      e d u c a ç ã o      p ú b l i c a      n o      B r a s i l      a v a n ç a s s e ? ; { ' n e g ' :      0 . 1 5 5 ,      ' n e u ' :      0 . 8 4 5 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      - 0 . 2 9 6 }
1 3 ; A É C I O      N E V E S ; A b s o l u t a m e n t e      n a d a . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
1 3 ; A É C I O      N E V E S ; E m      q u a l q u e r      r a n k i n g      i n t e r n a c i o n a l      c a n d i d a t a      é      v e r g o n h o s a      a      p o s i ç ã o      d o      B r a s i l . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
1 3 ; A É C I O      N E V E S ; I n c l u s i v e      e m      r e l a ç ã o      a      n o s s o s      v i z i n h o s . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
1 3 ; A É C I O      N E V E S ; E u      s e      e u      p u d e r      v e n c e r      e s s a s      e l e i ç õ e s      e      s e r      l e m b r a d o      c o m      u m a      m a r c a      e u      d i g o      a      t o d o s      o s      b r a s i l e i r o s      q u e r o      s e r      l e m b r a d o      c o m o      o      p r e s i d e n t e      q u e      r e v o l u c i o n o u      a      e d u c a ç ã o      n o      B r a s i l . ; { ' n e g ' :      0 . 0 7 8 ,      ' n e u ' :      0 . 9 2 2 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      - 0 . 2 9 6 }
1 3 ; A É C I O      N E V E S ; V o c ê s      t i v e r a m      1 2      a n o s      e      n a d a      a c o n t e c e u . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
1 3 ; A É C I O      N E V E S ; E u      g o v e r n e i      M i n a s      c o m      u m      o r g u l h o      e n o r m e ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
1 3 ; A É C I O      N E V E S ; c a n d i d a t a      p o r      o i t o      a n o s      e      l e v e i      M i n a s      G e r a i s      q u e      n ã o      é      o      m a i s      r i c o      d o s      e s t a d o s      b r a s i l e i r o s      é      o      s e g u n d o      m a i s      p o p u l o s o      a      t e r      a      m e l h o r      e d u c a ç ã o      f u n d a m e n t a l      d o      B r a s i l . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
1 3 ; A É C I O      N E V E S ; E      q u e m      f e z      c a n d i d a t a      t e m      m a i s      a u t o r i d a d e      p a r a      d i z e r      q u e      v a i      f a z e r . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
1 4 ; A É C I O      N E V E S ; L u i z      A l e x a n d r e      e s s e      é      u m      d r a m a      q u e      m i l h õ e s      d e      b r a s i l e i r o s      v i v e m      a      d i f i c u l d a d e      d e      p a g a r      a l u g u e l      e      a      d i f i c u l d a d e      d e      t e r      a      s u a      c a s a      p r ó p r i a . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
1 4 ; A É C I O      N E V E S ; A o      c o n t r á r i o      d a q u i l o      q u e      n ó s      a s s i s t i m o s      n a      p r o p a g a n d a      o f i c i a l      n ã o      f o r a m      e n t r e g u e s      t r ê s      m i l h õ e s      e      m e i o      d e      h a b i t a ç õ e s      n o      B r a s i l . ; { ' n e g ' :      0 . 1 9 8 ,      ' n e u ' :      0 . 8 0 2 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      - 0 . 4 9 3 9 }
1 4 ; A É C I O      N E V E S ; F o r a m      e n t r e g u e s      m e t a d e      d i s s o . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
1 4 ; A É C I O      N E V E S ; S e      t i v e s s e      s i d o      e n t r e g u e      e s s e s      t r ê s      m i l h õ e s      e      m e i o      d e      h a b i t a ç õ e s      p r o v a v e l m e n t e      u m      m i l h ã o      e      m e i o      o u      u m      p o u c o      m a i s      d i s s o      d e      b r a s i l e i r o s      e s t a r i a      n u m a      s i t u a ç ã o      h o j e      d e      m u i t o      m a i s      t r a n q u i l i d a d e . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
1 4 ; A É C I O      N E V E S ; N ó s      v a m o s      a m p l i a r      e s s e s      p r o g r a m a s      h a b i t a c i o n a i s      c o m      p a r c e r i a s      m a i s      e f e t i v a s      e      d e s b u r o c r a t i z a d a s      c o m      o s      m u n i c í p i o s      e      c o m      o s      e s t a d o s      b r a s i l e i r o s . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
1 4 ; A É C I O      N E V E S ; E s s e      é      u m      g r a n d e      d e s a f i o      e u      d i z i a      a g i r a      h á      p o u c o      q u e      n i n g u é m      p o d e      t e r      a      e x c l u s i v i d a d e      d a      p r e o c u p a ç ã o      c o m      a      q u e s t ã o      s o c i a l . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
1 4 ; A É C I O      N E V E S ; E      n ó s      t e r e m o s      u m a      p r e o c u p a ç ã o      p e r m a n e n t e      e m      a m p l i a r      o      p r o g r a m a      h a b i t a c i o n a l      e      p e r m i t i r      q u e      p e s s o a s      c o m o      v o c ê      t e n h a m      a c e s s o      a      m o r a d i a      d i g n a      d e      q u a l i d a d e      q u e      i n f e l i z m e n t e      n ã o      v e m      a c o n t e c e n d o . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
1 5 ; A É C I O      N E V E S ; R e n a t a      e u      r e s p o n d o      c o m      u m a      a l e g r i a      e n o r m e      a      s u a      p e r g u n t a      c o m      u m      c u m p r i m e n t o . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
1 5 ; A É C I O      N E V E S ; E s t i v e      n a      s u a      t e r r a      e s t a      s e m a n a      p e ç o      q u e      l e v e      u m      a b r a ç o      a o s      a m i g o s      d o      P a r á      d e      B e l é m . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
1 5 ; A É C I O      N E V E S ; E      r e a l m e n t e      s e      n ó s      n ã o      e n f r e n t a r m o s      c o m      c o r a g e m      n ã o      c o m      p r o m e s s a s      m a s      c o m      c o r a g e m      a      q u e s t ã o      d a      b a i x í s s i m a      q u a l i d a d e      d a      e d u c a ç ã o      n o      B r a s i l ; { ' n e g ' :      0 . 0 9 9 ,      ' n e u ' :      0 . 9 0 1 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      - 0 . 2 9 6 }
1 5 ; A É C I O      N E V E S ; n ó s      n ã o      v a m o s      a      l u g a r      a l g u m . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
1 5 ; A É C I O      N E V E S ; E s s e      é      o      g r a n d e      d e s a f i o      e s s a      é      a      g r a n d e      q u e s t ã o . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
1 5 ; A É C I O      N E V E S ; E u      f u i      g o v e r n a d o r      d e      M i n a s      R e n a t a      e      c o n s e g u i      f a z e r      c o m      q u e      M i n a s      G e r a i s      q u e      é      o      e s t a d o      q u e      t e m      o      m a i o r      n ú m e r o      d e      m u n i c í p i o s      d o      B r a s i l      s ã o      8 5 3      é      u m      e s t a d o      m u i t o      h e t e r o g ê n e o      p o r      q u e      n ó s      t e m o s      l á      p a r a      m u i t o      o r g u l h o      n o s s o      u m      N o r d e s t e      e n c o s t a d o      n o      n o s s o      t e r r i t ó r i o      c o n s e g u i m o s      f a z e r      c o m      q u e      M i n a s      t i v e s s e      a      m e l h o r      e d u c a ç ã o      d o      B r a s i l . ; { ' n e g ' :      0 . 0 4 1 ,      ' n e u ' :      0 . 9 5 9 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      - 0 . 2 9 6 }
1 5 ; A É C I O      N E V E S ; A      m i n h a      p r o p o s t a      é      f a z e r      i s s o      e m      t o d o      o      B r a s i l . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
1 5 ; A É C I O      N E V E S ; N ó s      v a m o s      c o m e ç a r      p e l a s      c r e c h e s . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
1 5 ; A É C I O      N E V E S ; E      a s      c r e c h e s      q u e      t i v e r e m      r e c u r s o      p ú b l i c o      n o      n o s s o      g o v e r n o      v ã o      f i c a r      a b e r t a s      a t é      a s      o i t o      h o r a s      d a      n o i t e . ; { ' n e g ' :      0 . 1 1 5 ,      ' n e u ' :      0 . 8 8 5 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      - 0 . 2 9 6 }
1 5 ; A É C I O      N E V E S ; C o m o      a s      p r é - e s c o l a s      q u e      v ã o      r e c e b e r      a s      c r i a n ç a s      d e      a t é      q u a t r o      a n o s      d e      i d a d e      t a m b é m      c o m      q u a l i d a d e      e      f i c a r ã o      a b e r t a s      a t é      e s s e      h o r á r i o . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
1 5 ; A É C I O      N E V E S ; V a m o s      q u a l i f i c a r      o      e n s i n o      m é d i o      f l e x i b i l i z a n d o      o s      c u r r í c u l o s      R e n a t a . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
1 5 ; A É C I O      N E V E S ; É      m u i t o      i m p o r t a n t e      q u e      a      p e s s o a      s e      f o m e      p a r a      u m a      a t i v i d a d e      q u e      e l a      v a i      e x e r c e r      n a      s u a      r e g i ã o      n a      r e g i ã o      o n d e      m o r a      o n d e      a      s u a      f a m í l i a      m o r a . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
1 5 ; A É C I O      N E V E S ; É      m u i t o      i m p o r t a n t e      i s s o      é      u m      c o m p r o m i s s o      d o      m e u      g o v e r n o      a p o i a r      a      q u a l i f i c a ç ã o      e      a      r e m u n e r a ç ã o      d o s      p r o f e s s o r e s . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
1 5 ; A É C I O      N E V E S ; N ó s      n ã o      v a m o s      t e r      u m a      e d u c a ç ã o      d e      q u a l i d a d e      s e      o s      p r o f e s s o r e s      n ã o      f o r e m      b e m      r e m u n e r a d o s . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
1 5 ; A É C I O      N E V E S ; O      m e u      g o v e r n o      v a i      a p o i a r      a q u e l e s      m u n i c í p i o s      e      e s t a d o s      q u e      r e m u n e r a m      p i o r      o s      s e u s      p r o f e s s o r e s      q u e      t ê m      d i f i c u l d a d e s      f i n a n c e i r a s      d e      d a r      u m      s a l á r i o      m e l h o r      e      u m a      q u a l i f i c a ç ã o      m e l h o r      a o s      s e u s      p r o f e s s o r e s . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
1 5 ; A É C I O      N E V E S ; N ó s      v a m o s      r e v o l u c i o n a r      a      e d u c a ç ã o      n o      B r a s i l . ; { ' n e g ' :      0 . 3 0 6 ,      ' n e u ' :      0 . 6 9 4 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      - 0 . 2 9 6 }
1 6 ; A É C I O      N E V E S ; R e n a t a      e u      v o l t o      a      s u a      p e r g u n t a      n é . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
